Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
chassis_link,-0.000285248179337172,-0.000159780426101874,0.0685279873333067,0,0,0,3.80861518882151,0.0339893136351206,3.71813015163998E-07,1.57829895835247E-06,0.0530543539587323,5.75707110656986E-07,0.0835826892752806,0,0,0,0,0,0,package://urdf_files/meshes/chassis_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://urdf_files/meshes/chassis_link.STL,,Chassis Full Assembly-1/Body Assembly-1/Chassis side wall cover-3;Chassis Full Assembly-1/Front Plate Subassembly-2/Front Plate-1;Chassis Full Assembly-1/Body Assembly-1/Chassis Top-Bot-2;Chassis Full Assembly-1/Body Assembly-1/Chassis Top-Bot-1;Chassis Full Assembly-1/Body Assembly-1/Chassis side wall cover-1;Chassis Full Assembly-1/Body Assembly-1/Chassis side wall cover-2;Chassis Full Assembly-1/Body Assembly-1/Chassis Clip - female-3;Chassis Full Assembly-1/Front Plate Subassembly-1/Front Plate-1;Chassis Full Assembly-1/Body Assembly-1/Chassis side wall cover-5;Chassis Full Assembly-1/Body Assembly-1/Chassis Clip - male-4;Chassis Full Assembly-1/Body Assembly-1/Chassis Clip - male-3;Chassis Full Assembly-1/Body Assembly-1/Chassis Clip - female-2,chassis_coord_sys,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fr_shoulder_link,-0.0567721362285222,-4.68957317423246E-10,-0.035813850676083,0,0,0,0.341494229668374,0.00092509825254589,-1.14252762491501E-10,-0.000416191354530389,0.0014941254150807,-1.13571153349423E-10,0.00130768118791365,0,0,0,0,0,0,package://urdf_files/meshes/fr_shoulder_link.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_files/meshes/fr_shoulder_link.STL,,Shoulder Assembly-1/Shoulder New-1,fr_shoulder_coord,fr_shoulder_roll_axis,fr_shoulder_roll_joint,revolute,0.253079000000006,-0.0669672613138981,0.0730249999999266,-1.5707963267949,0,1.5707963267949,chassis_link,0,0,1,0,0,0,0,,,,,,,,
fr_thigh_link,-0.0765451980608589,0.0246599681404474,-0.0222370484109427,0,0,0,0.441004045228566,0.00112078804579289,0.00167010125421119,2.92728621631749E-20,0.00497827912792583,1.43540260050616E-19,0.00609832624098481,0,0,0,0,0,0,package://urdf_files/meshes/fr_thigh_link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://urdf_files/meshes/fr_thigh_link.STL,,Leg 1ft Assembly-1/Thigh Front-1;Leg 1ft Assembly-1/Thigh Back-2,fr_thigh_coord,fr_shoulder_pitch_axis,fr_shoulder_pitch_joint,revolute,-0.119000000000003,0,-0.0899999999992207,0,1.5707963267949,0,fr_shoulder_link,0,0,-1,0,0,0,0,,,0.1,0.1,,,,
fr_tendonDriver_link,0.0075261272759124,0.014628120049162,-0.00635000000000008,0,0,0,0.0245276549772373,8.33015160696081E-06,-2.906228682549E-06,-1.9182409748285E-21,4.17672121779798E-06,-3.13537819138673E-21,1.18475285795457E-05,0,0,0,0,0,0,package://urdf_files/meshes/fr_tendonDriver_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_files/meshes/fr_tendonDriver_link.STL,,Leg 1ft Assembly-1/Thigh Linkage-1,fr_tendon_driver_coord,fr_tendon_driver_axis,fr_tendonDriver_joint,revolute,0,0,-0.015875,0,0,-3.14159265358979,fr_thigh_link,0,0,1,0,0,0,0,,,0.1,0.1,,,,
fr_tendon_link,0.141382343474056,-0.0649200552894769,-0.0126999999999998,0,0,0,0.153078335260698,0.000263548160276317,0.000566247634823771,-7.36762027349046E-21,0.00123670740379268,3.9207682805382E-21,0.0014992268138734,0,0,0,0,0,0,package://urdf_files/meshes/fr_tendon_link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://urdf_files/meshes/fr_tendon_link.STL,,Leg 1ft Assembly-1/Tendon Linkage-3;Leg 1ft Assembly-1/Tendon Linkage-2,fr_tendon_upper_coord,fr_tendon_upper_axis,fr_tendon_upper_joint,revolute,0.0203357305033569,0.0395254419949334,0.00634999999999986,0,0,0,fr_tendonDriver_link,0,0,-1,0,0,0,0,,,0.1,0.1,,,,
fr_placeholder_link,-6.17284001691587E-14,-2.28261853862932E-13,-0.032899999999991,0,0,0,0.00615649587103468,3.16512994437338E-07,-4.07536045881841E-37,2.34893333610873E-22,3.16512994437338E-07,5.64885986412905E-23,4.02157393710874E-07,0,0,0,0,0,0,package://urdf_files/meshes/fr_placeholder_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_files/meshes/fr_placeholder_link.STL,,Leg 1ft Assembly-1/placeholder_joint^Leg 1ft Assembly-1,fr_tendon_lower_coord,fr_tendon_lower_axis,fr_tendon_lower_joint,revolute,0.28276468694813,-0.129840110578842,0,0,0,0,fr_tendon_link,0,0,-1,0,0,0,0,,,0.1,0.1,,,,
fr_calf_link,-0.177557990131914,-0.126438433507937,-0.0063988910806777,0,0,0,0.561150945984369,0.00156111006373152,-0.00197596557824201,-1.3794552326579E-19,0.00301569719430542,-1.22528752288666E-19,0.0044337327785464,0,0,0,0,0,0,package://urdf_files/meshes/fr_calf_link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://urdf_files/meshes/fr_calf_link.STL,,Leg 1ft Assembly-1/Calf-1;Leg 1ft Assembly-1/Rubber Foot-1,fr_calf_coord,fr_calf_axis,fr_calf_joint,revolute,-0.281913757872058,0.121980667002828,-0.0158750000000001,0,0,-3.14159265358979,fr_thigh_link,0,0,1,0,0,0,0,,,0.1,0.1,,,,
fl_shoulder_link,0.0567721362285225,-4.68958205601666E-10,0.0358138506760837,0,0,0,0.341494229668383,0.000925098252545921,1.14252770606855E-10,-0.000416191354530397,0.00149412541508072,1.13571160528739E-10,0.00130768118791368,0,0,0,0,0,0,package://urdf_files/meshes/fl_shoulder_link.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_files/meshes/fl_shoulder_link.STL,,Shoulder Assembly-12/Shoulder New-1,fl_shoulder_coord,fl_shoulder_roll_axis,fl_shoulder_roll_joint,revolute,0.253079000000006,0.0665638590730748,0.0730249999999266,1.5707963267949,0,1.5707963267949,chassis_link,0,0,-1,0,0,0,0,,,0.1,0.1,,,,
fl_thigh_link,0.0765451980608594,-0.0246599681404467,0.0222129515890573,0,0,0,0.441004045228566,0.00112078804579289,0.00167010125421119,-2.63466438890003E-20,0.00497827912792583,-1.5372817207704E-19,0.00609832624098481,0,0,0,0,0,0,package://urdf_files/meshes/fl_thigh_link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://urdf_files/meshes/fl_thigh_link.STL,,Leg 1ft Assembly-13/Thigh Back-2;Leg 1ft Assembly-13/Thigh Front-1,fl_thigh_coord,fl_shoulder_pitch_axis,fl_shoulder_pitch_joint,revolute,0.119000000000009,0,0.0899999999992203,0,1.5707963267949,0,fl_shoulder_link,0,0,-1,0,0,0,0,,,0.1,0.1,,,,
fl_tendonDriver_link,0.0075261272759124,0.014628120049162,0.00634999999999997,0,0,0,0.0245276549772372,8.33015160696081E-06,-2.906228682549E-06,-2.44097729241019E-21,4.17672121779798E-06,-4.18842566431304E-21,1.18475285795457E-05,0,0,0,0,0,0,package://urdf_files/meshes/fl_tendonDriver_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_files/meshes/fl_tendonDriver_link.STL,,Leg 1ft Assembly-13/Thigh Linkage-1,fl_tendon_driver_coord,fl_tendon_driver_axis,fl_tendonDriver_joint,revolute,0,0,0.015875,0,0,0,fl_thigh_link,0,0,1,0,0,0,0,,,0.1,0.1,,,,
fl_tendon_link,0.141382343474028,-0.0649200552894631,0.0127000000000002,0,0,0,0.153078335260698,0.000263548160276318,0.000566247634823772,-8.51426128019168E-21,0.00123670740379268,4.00459533241661E-21,0.0014992268138734,0,0,0,0,0,0,package://urdf_files/meshes/fl_tendon_link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://urdf_files/meshes/fl_tendon_link.STL,,Leg 1ft Assembly-13/Tendon Linkage-2;Leg 1ft Assembly-13/Tendon Linkage-3,fl_tendon_upper_coord,fl_tendon_upper_axis,fl_tendon_upper_joint,revolute,0.0203357305033842,0.0395254419949194,-0.00635000000000008,0,0,0,fl_tendonDriver_link,0,0,-1,0,0,0,0,,,0.1,0.1,,,,
fl_placeholder_link,-1.55431223447522E-15,5.55111512312578E-16,-0.00750000000000028,0,0,0,0.00615649587103468,3.16512994437338E-07,-4.07536044302047E-37,2.34893334347112E-22,3.16512994437338E-07,5.64885990402406E-23,4.02157393710874E-07,0,0,0,0,0,0,package://urdf_files/meshes/fl_placeholder_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_files/meshes/fl_placeholder_link.STL,,Leg 1ft Assembly-13/placeholder_joint^Leg 1ft Assembly-1,fl_tendon_lower_coord,fl_tendon_lower_axis,fl_tendon_lower_joint,revolute,0.28276468694804,-0.129840110579039,0,0,0,0,fl_tendon_link,0,0,-1,0,0,0,0,,,0.1,0.1,,,,
fl_calf_link,-0.177557990131914,-0.126438433507937,0.00630110891932223,0,0,0,0.561150945984369,0.00156111006373152,-0.00197596557824201,-1.37203348184526E-19,0.00301569719430542,-1.30601111046642E-19,0.0044337327785464,0,0,0,0,0,0,package://urdf_files/meshes/fl_calf_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_files/meshes/fl_calf_link.STL,,Leg 1ft Assembly-13/Rubber Foot-1;Leg 1ft Assembly-13/Calf-1,fl_calf_coord,fl_calf_axis,fl_calf_joint,revolute,0.281913757872058,-0.121980667002827,0.015875,0,0,0,fl_thigh_link,0,0,1,0,0,0,0,,,0.1,0.1,,,,
